severity,type,image_vendor,image_type
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
high,deb,original,telegraf
critical,deb,original,telegraf
medium,deb,original,telegraf
high,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
medium,deb,original,telegraf
low,deb,original,telegraf
low,deb,original,telegraf
low,deb,original,telegraf
low,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
medium,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
high,deb,original,telegraf
low,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
unknown,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
low,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
unknown,deb,original,telegraf
high,deb,original,telegraf
high,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
medium,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
negligible,deb,original,telegraf
high,go-module,rapidfort,traefik
high,go-module,rapidfort,traefik
medium,go-module,rapidfort,traefik
medium,go-module,rapidfort,traefik
medium,go-module,rapidfort,traefik
medium,go-module,rapidfort,traefik
medium,go-module,rapidfort,traefik
medium,go-module,rapidfort,traefik
medium,go-module,rapidfort,traefik
medium,apk,original,fluentd-official
medium,gem,original,fluentd-official
negligible,deb,original,nginx
high,deb,original,nginx
negligible,deb,original,nginx
low,deb,original,nginx
negligible,deb,original,nginx
medium,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
medium,deb,original,nginx
medium,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
medium,deb,original,nginx
medium,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
high,deb,original,nginx
critical,deb,original,nginx
medium,deb,original,nginx
high,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
medium,deb,original,nginx
low,deb,original,nginx
low,deb,original,nginx
low,deb,original,nginx
low,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
medium,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
high,deb,original,nginx
low,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
unknown,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
low,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
unknown,deb,original,nginx
high,deb,original,nginx
high,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
medium,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
negligible,deb,original,nginx
high,deb,rapidfort,nginx
high,binary,rapidfort,nginx
low,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
medium,deb,rapidfort,nginx
medium,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
medium,deb,rapidfort,nginx
medium,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
low,deb,rapidfort,nginx
low,deb,rapidfort,nginx
low,deb,rapidfort,nginx
low,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
low,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
unknown,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
negligible,deb,rapidfort,nginx
high,deb,rapidfort,consul
high,binary,rapidfort,consul
high,binary,rapidfort,consul
low,deb,rapidfort,consul
negligible,deb,rapidfort,consul
medium,go-module,rapidfort,consul
medium,go-module,rapidfort,consul
medium,deb,rapidfort,consul
medium,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
medium,deb,rapidfort,consul
medium,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
medium,deb,rapidfort,consul
medium,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
low,deb,rapidfort,consul
low,deb,rapidfort,consul
low,deb,rapidfort,consul
low,deb,rapidfort,consul
low,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
unknown,deb,rapidfort,consul
negligible,deb,rapidfort,consul
negligible,deb,rapidfort,consul
low,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
medium,binary,rapidfort,haproxy
medium,binary,rapidfort,haproxy
medium,deb,rapidfort,haproxy
medium,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
medium,deb,rapidfort,haproxy
high,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
medium,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
medium,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
high,deb,rapidfort,haproxy
medium,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
negligible,deb,rapidfort,haproxy
low,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
high,deb,rapidfort,memcached-official
medium,deb,rapidfort,memcached-official
medium,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
medium,deb,rapidfort,memcached-official
medium,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
high,deb,rapidfort,memcached-official
high,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,rapidfort,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
low,deb,original,memcached-official
negligible,deb,original,memcached-official
medium,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
medium,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
medium,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
high,deb,original,memcached-official
high,deb,original,memcached-official
high,deb,original,memcached-official
high,deb,original,memcached-official
high,deb,original,memcached-official
high,deb,original,memcached-official
high,deb,original,memcached-official
high,deb,original,memcached-official
high,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
medium,deb,original,memcached-official
low,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
unknown,deb,original,memcached-official
unknown,deb,original,memcached-official
unknown,deb,original,memcached-official
unknown,deb,original,memcached-official
unknown,deb,original,memcached-official
unknown,deb,original,memcached-official
unknown,deb,original,memcached-official
unknown,deb,original,memcached-official
unknown,deb,original,memcached-official
unknown,deb,original,memcached-official
low,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
unknown,deb,original,memcached-official
negligible,deb,original,memcached-official
low,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
unknown,deb,original,memcached-official
high,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,memcached-official
negligible,deb,original,fluentd
high,deb,original,fluentd
negligible,deb,original,fluentd
low,deb,original,fluentd
negligible,deb,original,fluentd
medium,deb,original,fluentd
negligible,deb,original,fluentd
high,gem,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
high,deb,original,fluentd
critical,deb,original,fluentd
medium,deb,original,fluentd
high,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
medium,deb,original,fluentd
low,deb,original,fluentd
low,deb,original,fluentd
low,deb,original,fluentd
low,deb,original,fluentd
negligible,deb,original,fluentd
high,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
medium,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
medium,deb,original,fluentd
low,deb,original,fluentd
low,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
unknown,deb,original,fluentd
unknown,deb,original,fluentd
unknown,deb,original,fluentd
unknown,deb,original,fluentd
unknown,deb,original,fluentd
unknown,deb,original,fluentd
unknown,deb,original,fluentd
unknown,deb,original,fluentd
unknown,deb,original,fluentd
low,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
unknown,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
low,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
unknown,deb,original,fluentd
high,deb,original,fluentd
high,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
medium,deb,original,fluentd
high,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
negligible,deb,original,fluentd
medium,gem,original,fluentd
medium,gem,original,fluentd
negligible,deb,original,fluentd
high,deb,rapidfort,zookeper
high,binary,rapidfort,zookeper
low,deb,rapidfort,zookeper
negligible,deb,rapidfort,zookeper
medium,deb,rapidfort,zookeper
medium,deb,rapidfort,zookeper
negligible,deb,rapidfort,zookeper
negligible,deb,rapidfort,zookeper
negligible,deb,rapidfort,zookeper
negligible,deb,rapidfort,zookeper
negligible,deb,rapidfort,zookeper
negligible,deb,rapidfort,zookeper
negligible,deb,rapidfort,zookeper
