severity,type,image_vendor,image_type
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
low,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
medium,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
medium,deb,original,rabbitmq
negligible,deb,original,rabbitmq
medium,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
negligible,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
negligible,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
negligible,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
high,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
medium,deb,original,rabbitmq
unknown,deb,original,rabbitmq
medium,deb,original,rabbitmq
medium,deb,original,rabbitmq
medium,deb,original,rabbitmq
medium,deb,original,rabbitmq
medium,deb,original,rabbitmq
high,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
low,deb,original,rabbitmq
negligible,deb,original,rabbitmq
critical,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
medium,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
medium,deb,original,rabbitmq
unknown,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
medium,deb,original,rabbitmq
low,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
medium,deb,original,rabbitmq
unknown,deb,original,rabbitmq
critical,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
medium,deb,original,rabbitmq
low,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
high,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
high,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
high,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
low,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
critical,deb,original,rabbitmq
low,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
critical,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
unknown,deb,rapidfort,fluentd-official
unknown,deb,rapidfort,fluentd-official
critical,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
unknown,deb,rapidfort,fluentd-official
unknown,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
unknown,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
unknown,deb,rapidfort,fluentd-official
critical,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
medium,deb,rapidfort,fluentd-official
unknown,deb,rapidfort,fluentd-official
unknown,deb,rapidfort,fluentd-official
medium,gem,rapidfort,fluentd-official
medium,gem,rapidfort,fluentd-official
medium,gem,rapidfort,fluentd-official
medium,gem,rapidfort,fluentd-official
negligible,deb,rapidfort,fluentd-official
critical,deb,rapidfort,fluentd-official
critical,deb,rapidfort,fluentd-official
low,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
medium,deb,rapidfort,envoy
unknown,deb,rapidfort,envoy
negligible,deb,rapidfort,envoy
negligible,deb,original,consul
negligible,deb,original,consul
low,deb,original,consul
negligible,deb,original,consul
medium,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
medium,deb,original,consul
negligible,deb,original,consul
medium,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
unknown,deb,original,consul
unknown,deb,original,consul
unknown,deb,original,consul
negligible,deb,original,consul
unknown,deb,original,consul
unknown,deb,original,consul
unknown,deb,original,consul
negligible,deb,original,consul
unknown,deb,original,consul
unknown,deb,original,consul
unknown,deb,original,consul
negligible,deb,original,consul
unknown,deb,original,consul
unknown,deb,original,consul
unknown,deb,original,consul
negligible,deb,original,consul
medium,deb,original,consul
unknown,deb,original,consul
medium,deb,original,consul
medium,deb,original,consul
medium,deb,original,consul
medium,deb,original,consul
high,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
low,deb,original,consul
negligible,deb,original,consul
critical,deb,original,consul
unknown,deb,original,consul
unknown,deb,original,consul
unknown,deb,original,consul
medium,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
medium,deb,original,consul
unknown,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
medium,deb,original,consul
low,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
medium,deb,original,consul
unknown,deb,original,consul
critical,deb,original,consul
unknown,deb,original,consul
unknown,deb,original,consul
unknown,deb,original,consul
medium,deb,original,consul
low,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
high,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
high,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
high,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
low,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
negligible,deb,original,consul
critical,deb,original,consul
critical,deb,original,consul
low,deb,original,envoy-official
medium,deb,original,envoy-official
low,deb,original,envoy-official
negligible,deb,original,envoy-official
negligible,deb,original,envoy-official
medium,deb,original,envoy-official
medium,deb,original,envoy-official
medium,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
negligible,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
medium,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
low,deb,original,envoy-official
negligible,deb,original,nginx-official
negligible,deb,original,nginx-official
low,deb,original,nginx-official
negligible,deb,original,nginx-official
negligible,deb,original,nginx-official
medium,deb,original,nginx-official
negligible,deb,original,nginx-official
negligible,deb,original,nginx-official
critical,deb,original,nginx-official
